2019-04-15 03:24:44.698 INFO  [main][DialectDetector:158] Using dialect org.hibernate.dialect.MySQLDialect for MySQL 5.7
2019-04-15 03:24:47.883 INFO  [main][ModuleFrameworkImpl:1326] Starting initial bundles
2019-04-15 03:25:04.954 INFO  [ModuleFramework-Static-Bundles-4][LPKGIndexValidator:150] Running validation because of mismatched checksum for liferay-target-platform
2019-04-15 03:29:17.198 INFO  [ModuleFramework-Static-Bundles-4][LPKGIndexValidator:273] LPKG validation time 04:19s
2019-04-15 03:29:21.629 INFO  [ModuleFramework-Static-Bundles-4][LPKGIndexValidator:212] Updated C:\LR7\liferay-ce-portal-7.1.1-ga2\osgi\target-platform\integrity.properties
2019-04-15 03:29:21.649 INFO  [main][ModuleFrameworkImpl:1592] Started initial bundles
2019-04-15 03:29:21.649 INFO  [main][ModuleFrameworkImpl:1627] Starting dynamic bundles
2019-04-15 03:29:39.913 INFO  [main][ModuleFrameworkImpl:1716] Started dynamic bundles
2019-04-15 03:29:39.913 INFO  [main][ModuleFrameworkImpl:413] Navigate to Control Panel > Configuration > Gogo Shell and enter "lb" to see all bundles
2019-04-15 03:29:45.393 WARN  [Elasticsearch initialization thread][EmbeddedElasticsearchConnection:286] Liferay is configured to use embedded Elasticsearch as its search engine. Do NOT use embedded Elasticsearch in production. Embedded Elasticsearch is useful for development and demonstration purposes. Remote Elasticsearch connections can be configured in the Control Panel.
2019-04-15 03:29:57.234 INFO  [main][StartupHelper:72] There are no patches installed
2019-04-15 03:29:59.221 INFO  [main][AutoDeployDir:193] Auto deploy scanner started for C:\LR7\liferay-ce-portal-7.1.1-ga2\deploy
2019-04-15 03:30:22.447 INFO  [main][ThemeHotDeployListener:108] 1 theme for admin-theme is available for use
2019-04-15 03:30:23.186 INFO  [main][ThemeHotDeployListener:108] 1 theme for classic-theme is available for use
2019-04-15 03:30:23.748 ERROR [main][PortletImpl:2920] Unable to link role for portlet [MyCampaigns] with role-name [cf_PROJECT_OWNER] because role-link is null
2019-04-15 03:30:28.772 INFO  [main][SystemCheckOSGiCommands:54] System check is enabled. You can run a system check with the command "system:check" in Gogo shell.
2019-04-15 03:30:28.789 INFO  [main][SystemCheckOSGiCommands:64] Running system check
2019-04-15 03:30:28.789 INFO  [main][SystemCheckOSGiCommands:95] Available checkers :[Declarative Service Soft Circular Dependency Checker, Declarative Service Unsatisfied Component Checker, Spring Extender Unavailable Component Checker]
2019-04-15 03:30:28.790 INFO  [main][SystemCheckOSGiCommands:111] Running "Declarative Service Soft Circular Dependency Checker". You can run this by itself with command "ds:softCircularDependency" in gogo shell.
2019-04-15 03:30:29.774 INFO  [main][SystemCheckOSGiCommands:123] Declarative Service Soft Circular Dependency Checker check result: No issues were found.
2019-04-15 03:30:29.774 INFO  [main][SystemCheckOSGiCommands:111] Running "Declarative Service Unsatisfied Component Checker". You can run this by itself with command "ds:unsatisfied" in gogo shell.
2019-04-15 03:30:33.571 INFO  [main][SystemCheckOSGiCommands:123] Declarative Service Unsatisfied Component Checker check result: No issues were found.
2019-04-15 03:30:33.585 INFO  [main][SystemCheckOSGiCommands:111] Running "Spring Extender Unavailable Component Checker". You can run this by itself with command "dm na" in gogo shell.
2019-04-15 03:30:33.586 INFO  [main][SystemCheckOSGiCommands:123] Spring Extender Unavailable Component Checker check result: No issues were found.
2019-04-15 06:12:02.599 WARN  [HikariPool-1 housekeeper][HikariPool:686] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h1m17s94ms239µs403ns).
2019-04-15 06:12:04.968 WARN  [HikariPool-2 housekeeper][HikariPool:686] HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h1m17s93ms549µs616ns).
2019-04-15 07:26:10.860 WARN  [HikariPool-1 housekeeper][HikariPool:686] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=19m8s262ms64µs565ns).
2019-04-15 07:26:13.221 WARN  [HikariPool-2 housekeeper][HikariPool:686] HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=19m8s261ms727µs280ns).
2019-04-15 08:45:52.939 WARN  [HikariPool-1 housekeeper][HikariPool:686] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=49m42s127ms258µs976ns).
2019-04-15 08:45:55.299 WARN  [HikariPool-2 housekeeper][HikariPool:686] HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=49m42s127ms320µs204ns).
