2019-04-10 04:46:58.193 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:39] STARTED nirav.demo_1.0.0 [5884]
2019-04-10 04:46:58.271 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:39] STARTED com.crowd.funding.recruitment_1.0.0 [6762]
2019-04-10 04:46:58.272 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:39] STARTED com.crowd.funding.database.api_1.0.0 [5878]
2019-04-10 04:47:08.406 INFO  [fileinstall-C:/LR7/liferay-ce-portal-7.1.1-ga2/osgi/modules][BundleStartStopLogger:42] STOPPED com.crowd.funding.database.service_1.0.0 [5879]
2019-04-10 04:47:08.543 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:39] STARTED com.crowd.funding.database.service_1.0.0 [5879]
2019-04-10 04:47:09.252 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][ServiceComponentLocalServiceImpl:625] Auto upgrading CrowdFunding database to build number 156 is not supported for a production environment. Write an UpgradeStep to ensure data is upgraded correctly.
2019-04-10 04:47:09.256 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][ServiceComponentLocalServiceImpl:630] Upgrading database with tables.sql
2019-04-10 04:47:09.585 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_acknowledgement_details' already exists: create table cf_acknowledgement_details (_uuid_ varchar(75) null,_ACKNOWLEDGMENT_ID bigint not null primary key,_PROJECT_ID bigint,_DETAILS longtext null,_DOCUMENT_NAME varchar(75) null,_DOCUMENT_TYPE varchar(75) null,_DOCUMENT longblob,_VIDEO_TYPE varchar(75) null,_VIDEO longblob,_DATE datetime(6) null_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.587 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_candidate_details' already exists: create table cf_candidate_details (_uuid_ varchar(75) null,_CANDIDATE_ID bigint not null primary key,_POSITION_ID bigint,_NAME varchar(75) null,_EMAIL varchar(75) null,_MOBILE_NO bigint,_CURRENT_LOCATION varchar(75) null,_EXPERIENCE varchar(75) null,_RESUME_TYPE varchar(75) null,_RESUME longblob,_DATE datetime(6) null,_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.589 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_donor_details' already exists: create table cf_donor_details (_uuid_ varchar(75) null,_DONOR_ID bigint not null primary key,_NAME varchar(75) null,_ADDRESS varchar(75) null,_CITY varchar(75) null,_STATE varchar(75) null,_COUNTRY varchar(75) null,_PINCODE varchar(75) null,_MAIL_ADDRESS varchar(75) null,_MOBILE_NO bigint,_OTP integer,_MAIL_VERIFICATION integer,_SMS_VERIFICATION integer,_CREATION_DATE_TIME datetime(6) null_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.591 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_dynamic_fees_details' already exists: create table cf_dynamic_fees_details (_uuid_ varchar(75) null,_CATEGORY_ID bigint not null primary key,_CATEGORY_NAME varchar(75) null,_PROCESSING_FEES double,_PROJECT_FEES double,_PAYMENT_GATEWAY_CHARGES double,_OTHER_CHARGES double_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.592 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_extention_details' already exists: create table cf_extention_details (_uuid_ varchar(75) null,_PROJECT_EXTENTION_ID bigint not null primary key,_PROJECT_ID bigint,_EXTENTION_DATE datetime(6) null,_COMMENT varchar(75) null,_STATUS integer,_DATE datetime(6) null_) engine InnoDB;_ [Sanitized]
